,tweet_content,harassment,IndirectH,PhysicalH,SexualH
75,RT phoebe sandberg if you don t know my brother is a huge Disney fan amp hasn t been in years excited seems to be an understatement ht ,0,0,0,0
76,My bitch think we breaking up LMAO stupid SLUT ill kill you TTYL i love you,1,0,0,1
77, me danie n nesra listen bastard through jonah yours filthy waste space wh x89 t co EMyu0Ytwpu ,0,0,0,0
78, BriannaWu This doesn t fucking matter At all ,0,0,0,0
79,RT aspenkohl JUST RETWEET if this was your brother or your best friend you would want people to RT amp help so just do it ht ,0,0,0,0
80, lillydelben you x89 re cause stole pussy enough back ain x89 t ain x89 t x89 t co 9JHjbOaPfG ,1,0,0,1
81, archive19424198 trees animals flowers i m going for a pastel 80s georgia o keefe golden girls country slut look rn tbh lmao,1,0,0,1
82, nina bryce22 Regardless of whatever u ask me the answer is YOU decide I can call somebody a bitch slut or a pu ,1,0,0,1
83, YaraNazar slut shaming mostly comes females matter female to female issue ,1,0,0,1
84,Good morning nudes cumwhore venmo sugardaddy sugarbaby horny ass youngteen schoolgirl cumslut tits ,1,0,0,1
85, Cute glasses porn cumshot tits t co wDAS8dI6Zg ,1,0,0,1
86,This week our LittleLions had lots of fun working on their balance amp coordination amp jumping skills We also heard ,0,0,0,0
87, ArianaGrande girl as long as you don t think he s a good person or sumn just bc he didn t slut shame u to ur face we chillin,1,0,0,1
88, JOONSMIND Y x89 all really turning Hollywood movies editors thought t co 5qUXnkiPY8 ,0,0,0,0
89,RT Elizaporn Retweet amp Follow I try a new doggystyle fly and fuck Full Videos ,0,0,0,0
90,Ari the perfect example of a slut you hoes go to a new dino in a matter of months n still try to fw yo ex on top o ,1,0,0,1
91, larry28always sassy bitch x8d x8d t co 3IlgOQoZxE ,0,0,0,0
92, You re bitch x89 slut better too t co rti1vp1xED ,1,0,0,1
93,RT VarshRaja Hastalavista 90 Nuzhatw24 xRainbow girlx See I know you don t But others in Ur FD DO IT and We have proofs of Ur FD ppl ,0,0,0,0
94,Don t mess boy watching Dave amp Ava His favorite YouTube show He s just so beautiful How could I resist ,0,0,0,0
95, InMyCudiZone People short memory loss Steffy slut Brooke HoGan isn x89 t queen of x89 ,1,0,0,1
96,The people that work in the dining hall are all sitting here talking shit about this girl that came in first thing ,1,1,0,0
97, 3 3 missing anything former Green Beret NateBoyer37 about country either x89 t co D4DCORU2ty ,0,0,0,0
98, DanielsLiving Not a slut just experienced ,1,0,0,1
99, hell bitch flocka month century i x89 t co aAngtAg4Lb ,1,0,0,1
100,RT tiapogai51 All these man are very lucky gt Then sign up Note Verify Email to send msg to girls slut ass dick cock jailbait ,1,0,0,1
101, amiiraashardaee chopped think LMFAOOOO it x89 s though ,0,0,0,0
102,naked sexy mature interracial anal ho aberdeen slut gets fucked by teens monkey and teen sex amateur movis scenes a ,1,0,0,1
103,RT pantero7445 All dumbasses who went to fight for ISIS made their choice they left America amp now want to come home I have no problem ,0,0,0,0
104, Sweet but Psycho by Ava Max replaces Shallow by Lady Gaga amp Bradley Cooper at No 1 in the Australian Song Chart ,0,0,0,0
105,Time for a real play she thought ju slowly sits on the pillow as feeling the soft fabric running against her wet s ,0,0,0,0
106,Do you want to eat my pussy I feel very bitch cum cock dick balls wank horny wanktribute cocktribute ,1,0,0,1
107, x89 x8f watch x89 x8f n nt co ZARYUsjZml n ndoggy style blowjob dicksucking doggie style girlsfuc x89 t co VUVBgt8iwT ,0,0,0,0
108, BriannaWu Pro wall Ever hear of a campaign promise ,0,0,0,0
109, FastCompany x89 People wanted lipstick t co 90DKnPMYzo ,0,0,0,0
110,Why is Ava at the docks She hears a noise amp pulls out a gun It s just Franco GH,0,0,0,0
111,Exclusively for our local friends Become winemakers in our redesigned AVA Room During NapaNeighborDays 1 12 amp 1 ,0,0,0,0
112, bansheerabidcat not alfonso Oh pay me na slut not alfonso lt 3 charot lang ,1,0,0,1
113,If a girl bangs 10 guys in a year she s a slut But if a guy does it he s gay Definately gay ,1,0,0,1
114, SarahSpain Thank you so much Sarah I appreciate you continuing to share the petition amp podcast ,0,0,0,0
115, Y x89 all always believe shaming necessary society there x89 x89 t co 9NlW24UQvg ,0,0,0,0
116, Cheeksss lmaooooo virginity didn x89 t later hated men still bu x89 t co GfH5k8otmC ,0,0,0,0
117, yvonneho604 Sassy cheerleader t co xvzA3ifbn3 ,0,0,0,0
118, Cave DweIIer minakimes SarahSpain MichaelRyanRuiz 3 Carroll Russ amp the 12th Man ,0,0,0,0
119,While we were at war amp defend our country you cowardly was in America Iran is now number 1 in refugees run away fr ,0,0,0,0
120, nocturnkisses daddy s gonna wreck punish being naughty naughty little slut ,1,0,0,1
121,Prime example of misogyny in the world of number of people you ve slept with is once I was talking to a friend ,0,0,0,0
122, t co xdtAIMBPY5 n npornstars juice pornstar cumpilations 21sextury cumshot nippon movies games po x89 t co Z2Crzbi0UJ ,1,0,0,1
123, evajunewilliams blairedaily found about Wasn x89 t shaming bitch shaming ,1,0,0,1
124, smalltownandrew No there is a combination a tax cheating son of a bitch and a racist slut ,1,0,0,1
125,RT lucas bethany Quit bitching bc girls post pics w their ass on the sink Quit bitching ab how much their clothes cover their body ,1,0,0,1
126,Maybe BriannaWu can help me see it but Trump s forehead amp hair look like a low resolution texture on a model ,0,0,0,0
127, Your sassy don x89 t shirts print I x89 m really maybe someone can x89 t co p7Lj5oDJUG ,0,0,0,0
128,first today ALONE because cousin nastiest skank bitch i x89 ve DO x89 t co 1Np4kdzOnv ,1,0,0,1
129, Jus stop masterbation bitch masterbation life x9d don t h x89 t co tH1fy3T6XF ,1,0,0,1
130, crucialstates pussyliquor the menstrual cramps peaness the tuts daddy issues grlwood doll skin witch fever ,1,0,0,1
131,RT Neal75556257 robreiner Mitch McConnell is political slut He ll drag the whole country down amp into the mud 4 a political power play ,0,0,0,0
132, Move little you re taking attention slut t co J8qsCa8ku9 ,1,0,0,1
133,RT austin schmitty Mother fucker bitch slut whore fucking fags Brb gonna try girls for a bit,1,0,0,1
134, icecreamcakeee SCHOOL SCHOOL handling nothing matters Don x89 t let x89 ,0,0,0,0
135,women doesn t adhere sexual norms called slutty perceived sexually acti x89 t co oXQ4TJKk1L ,1,0,0,1
136, trulybbh isn t slut x8b she s EXO L n n iHeartAwards BestFanArmy EXOL weareoneEXO ,1,0,0,1
137, MetalHe23706490 Check Sassy s patches 15 nPlace order today t co M9tntjJtiN ,0,0,0,0
138, maannyyyy Everyone bitch actually everyone unfollow watch bitch about ,1,0,0,1
139,RT SandyGrave3 rt amp dm if you want nudes horny teen nudes booty tits ass pussy cum jailbait slut cocktease cumslut sex po ,0,0,0,0
140,To my niggas having bitches it s what you just do to the bitches having niggas it s what a slut do My aunt told m ,1,0,0,1
141,RT emilyvimiller he was adamant on flying me to Texas just for the night bc he just couldn t wait amp had to show me something this is ,0,0,0,0
142, HellsKitchen hilarious she s American keeps talking she s British because wants t x89 t co IkB4WOMqQK ,0,0,0,0
143,college girl anal FairyEastt I like very dedicated people who have a purpose in this life and know what they want ,0,0,0,0
144, This Britain under consent raped hundreds t co SXx7KJjfAW ,0,0,0,0
145,a reporter with a penis called a girl slut coz she was wearing what she wanted to wear haha good thing that woma ,1,0,0,1
146, harleylaroux And I applaud her agency She knows what she wants and likes and says so point blank Wunderbar Sh ,0,0,0,0
147,1 I got Thanos Die bitch 2 Whoever made this is a monster Tony is born in May and Peter is born in August y ,1,0,0,1
148, Dumpity realDonaldTrump calling Stormy Daniels horseface screwing wants t x89 t co wchrMDcENW ,0,0,0,0
149, jennie instagram shame start spreading false accusations about w x89 t co 1E4s7EsXVx ,0,0,0,0
150,Who wants to buymynudes I sell pics vids live Skype sessions amp sexting sessions dm me sellingnudes ,0,0,0,0
151,RT lmPostMalone u gotta accept shit for what it is amp move on ,0,0,0,0
152, NostalgiaShe 500 singles and slut bitch is my shit,1,0,0,1
153, Just decided change Halloween costume going British school slut this x89 ll great ,0,0,0,0
154, Kayl Donald Ava s been coughing to fuck as well for months they told me it was a chest infection turns out she s ,1,0,0,1
155, SketchesbyBoze somewhere tonight there s writing novel between working jobs ignoring voices telling up x89 ,0,0,0,0
156, kitbannerman4 newgirllbianca Let s be honest I m a slut for most things ,0,0,0,0
157,world Halloween night dress total slut other girls sa x89 t co 7hDprpneQm ,1,0,0,1
158,i like being called kitten baby babygirl babydoll etc bunny pet hun honey etc princess anything degrading slut whore toy etc ,0,0,0,0
159, British pussy cumshot indian stars uncircumcised hours ago x89 t co C6yyBtpOMV ,1,0,0,1
160, GUHH Ava s graduation wasn t for or about u Dame that was Ava s moment amp he more mad than she is,0,0,0,0
161,RT DebbieD74799118 SteveD4848 How dare she Honest people and children were killed in Manchester and this scum says that s fair retali ,1,0,1,0
162, MarkiaaG Bitches wanna friends niggas homies bitch ain x89 t wives don x89 t wanna,1,0,0,1
163,walked friend today said x89 Sorry sassy earlier trying communi x89 t co lmzJ9Pdm3D ,0,0,0,0
164, BriannaWu I ll say it again this is not a sleepover this a celebrating a national championship oh well have a ,0,0,0,0
165,I can t post a comment saying must be nice to be a slut on a picture of a almost fully nude girl showing her as ,1,0,0,1
166, RT and Like for more anal wanktribute sugarbaby camgirl slut porn gangbang amateur girl wet fuckme ,1,0,0,1
167, pawgslut CumshotsVids Such a good girl ,1,0,0,1
168,Pervy guy fucks Eva for dirty creampie in HD porn nsfw orgasm wet horny pussy sex porn video xxx rt ,1,0,0,1
169, Transgender people stupid vagina biggest ever wouldnt makeamericasmartagain ,1,0,0,1
170,concurso porno japones go girls nude nylons stocking colombian slut what is the best free amateur porn site petite ,1,0,0,1
171,I feel like a slut because I thrive on twitter but they killed vine,1,0,0,1
172,FACT a girl with small boobs can post a pic in a bra amp it will be viewed as cute and innocent but if a girl with b ,0,0,0,0
173, Today Sydney growing can t believe going be x89 t co biwW4w1zIR ,0,0,0,0
174,Ava Addams getting fucked by big black cock ,1,0,0,1
175, flies jimmy cuz long sniffer trybe says that being domesticated is bad and has everyone brainwashed to believe it too,0,0,0,0
176,WT amp F Through three events Ava Gruzen is in 12th place with 1 805 points in the pentathlon at the Harvard Multi Meet ,0,0,0,0
177, maydaymindy9 I never knew Adolf amp Ava Braun had a child ,0,0,0,0
178,RT HollyKay2141 What an awesome battle between my future Lady Lions So many great ball handlers defenders amp teammates The Lady Lions ,0,0,0,0
179,i licked her legs and it was like her hair we listened to radiohead playing on the radio she had two cigar ,1,0,0,1
180, British pussy cumshot indian stars uncircumcised hours agoRakel Liekki x89 t co WSvORe2qPU ,1,0,0,1
181, SoapJenn When Ava amp Franco are the more socially appropriate people in the room your sociopathic tendencies are showing GH,0,0,0,0
182, miamischievious PaulPromotes Natuky85 AdultModelPromo Tattooed Babes FANCentroTribe CamAngelsXXX rtslave 7 Such a naughty girl,1,0,0,1
183,Hidden camera in the toilet gt Then sign up Note Verify Email to send msg to girls ,1,0,0,1
184,really calling I x89 m middle doing making sandwich I x89 m Chopped ,0,0,0,0
185,i let a guy with a camaro take my virginity and dump me for the community slut amp now hes ignoring my existence so w ,1,0,0,1
186, but sassy never chance probably laugh x89 t co n0YvLSbWpB ,0,0,0,0
187,RT jojoansett I sit back amp observe every person in my life whether we talk everyday or not I know who motivates me amp is genuine I also ,0,0,0,0
188,when me n amp Emilyyirvine are bored ,0,0,0,0
189, schoolgirl school interracial quarterback videos cumshot surprise japanese you x89 t co nQJEwriHcg ,0,0,0,0
190, t co ZY1nmrPZ4N n AestheticBaal LeUncleArty nFUCK potato fuck videos care x89 t co 6EmX9DX3yR ,0,0,0,0
191, xa0 npussy amateur adult women nporno snapchatme hairy xxx nsnapme x89 t co p8tWyGOzAV ,1,0,0,1
192,RT PlanetPompeii Egg shells perfectly preserved in clay Very rare archaeological find from Pompeii now preserved in the Antiquarium of ,0,0,0,0
193,RT CFootGoddessx Your balls wouldnt manage under my huge feet pure toture to you little cum slut foot slave bitches humiliation hum ,1,0,0,1
194, TheyCallMeTXT resource gamergate thing thought asked game with snatch ,0,0,0,0
195, PraetorSuit Which specifically I x89 d personally pitch black world devil there rapist an x89 t co bUrgtjfryA ,1,0,1,0
196,RT AmberCa10937197 Wanna meet a really sexy bitch for a good evening free signup porn dick webca ,1,0,0,1
197,RT romyboekman People like to virgin shame just as much as they do slut shame Girls can t win either way ,1,0,0,1
198,RT eabha swan I think it s hilarious how lads instantly label a girl as a slut just cause the girl isn t interested in them wipe your te ,0,0,0,0
199, Rico21 Idk about the yoga thing but yes I do think women were a different breed back in the day Truly strong wo ,0,0,0,0
200, FourEcchiTasty Anti Gamergate campaign t co I3Q5Ubgl4x ,0,0,0,0
201, tempeampela Happy birthday liat ava kampret ,0,0,0,0
202,Selling my dropbox now pm me only paypal kinkygirl slut slutty fuckme yesdaddy daddy sugardaddy horny ,1,0,0,1
203,happy bday i love amp miss u maddygueccia ,0,0,0,0
204, See t co WkSEvw8FEp there Kashmiris working models India film x89 t co rvXOxrDT6H ,0,0,0,0
205,one thing about my TL u gon get the minds of a kid a teenager a girlfriend a desperate lover a wife a slut ,1,0,0,1
206,listened to that Ava max thot who the fuck likes this trashy shit,0,0,0,0
207, Got I x89 m settled nothing wrong having then Really don x89 t slu x89 t co 2Prfd73z5W ,0,0,0,0
208,Ava Diamond amp amp Dale Moss Performance and Stress Management ,0,0,0,0
209, babahama09 ava Landiggy11 I agree When that day comes none of this drama amp politics will matter We will all n ,0,0,0,0
210,if you are insulted by me calling you bitch slut hoe or any term like this then PLEASE leave my account,1,0,0,1
211, incest taboo teen slut porn Alex Coal Slut Stepsister 01 13 Next Part amp Full ,1,0,0,1
212,RT Ernieesto16 Might fuck around amp glow up this year idk tho,0,0,0,0
213, Hot naked girls BettyEveToy difference between girls sel x89 t co 2YtGF3vXMi ,0,0,0,0
214,So I took a week off to chill w Ava before I start my new job amp before Caleb comes I can t emphasize how much I l ,0,0,0,0
215,RT crunchyslice Might fuck around and work on changing my unhealthy behaviors,0,0,0,0
216,RT joshscampbell NEW Supreme Court says mystery company must pay fines while it challenges Mueller related subpoena ,0,0,0,0
217,RT RealKentMurphy No matter what sport you play this a perfect example of a great teammate ,0,0,0,0
218, tbh you bea n aaden are my most favorite bitches in the world even if y all are sometimes annoyin ,1,0,0,1
219,I did say from 5 months ago that Ava Max is gonna blow up thats so raven who bitchs,1,0,0,1
220, mikeoxbigNFL SarahSpain These are a few I ve drawn the average from 2002 Lisak amp Miller 2009 Stephanie McWhort ,0,0,0,0
221, kiingoqthefall fight fandoms shaming amp kidney jokes aren x89 t miley an x89 t co TyTZbs2ZIb ,0,0,0,0
222, NoraReed TotalBiscuit middle GamerGate dunno y all expecting ,0,0,0,0
223,RT JeffreeStar Diva is all smiles His heart amp lungs are perfect his X rays look really good but he may be having a trachea issue s ,0,0,0,0
224,I m tired of fucking these lame bitches I just need a slut ,1,0,0,1
225, pussy pussy pictures naked pokemon movie geeky nt co ZwVjmUXJH0 ,1,0,0,1
226,DM me for some private fun like and RT snapchat schoolgirl cumslut cockslut snap slut cumwhore jailbait ,1,0,0,1
227,too little too late just like emmett till amp the central park 5 these innocent men were wrongfully accused amp MURD ,0,0,0,0
228,Three Generations Reese Witherspoon Graces the Cover of Vogue With Her Daughter amp Mom ,0,0,0,0
229,Lindsey Graham s slut whore drunk quote about victims haunt his x89 t co KlBYJBugqS ,1,0,0,1
230,sassy wants signing first prepare good don t know x89 t co qiQGIb17IK ,1,0,1,0
231,RT DECprince55 As much as I want to have her baby I struggle with the way she and some other studs embrace toxic masculinity You can ,0,0,0,0
232, porn drunk england interracial threesome iranian karina sapphic soloboy fuck x89 t co 4LaVCI5pZR ,1,0,0,1
233,Me jamming to break up w your girlfriend Chris honestly this is the slut anthem Me I know right I fucking love it ,1,0,0,1
234, yoncesgalore said he should shamed mani ,0,0,0,0
235, luna yumizuki gotta focus study thinking useless shit n nme n nme n nmy brain bitch flo x89 ,1,0,0,1
236,snapchat xfoxygirl n n nparis unwanted creampie russian threesome indian porno cumshot nake x89 t co pxCKZy763Z ,1,0,0,1
237, give coochie homeless dirty bitch x89 thank t co 6TywHqdNSA ,1,0,0,1
238,Is that girl a slut or is she free and happy ,1,0,0,1
239,Hogland amp Vinil We Don t Care ft AVA HoglandVinil EDM EDM EDM RT,0,0,0,0
240,Dallas Option Clinic March 8 9 Dallas TX The Citadel Kennesaw State 6A Illinois State Champs Carey Groves and ,0,0,0,0
241, itsgodgabitch ava has all of those and loves Gaga too what s with this random slander huh why do you need to pit ,1,0,0,1
242, Daddys mommys world bodysuit onepiece infant t co 5JZbdVjuQn clothing children bodysuit x89 t co 4hD80svaL3 ,0,0,0,0
243, Jahoodlum being sometimes taking shirt ceiling karate chopped hand ,0,0,0,0
244,Zero The Everlasting Gaze Ava Adore Smashing Pumpkins Riffs amp Solos via YouTube,0,0,0,0
245,RT CSG Athletics Congrats to Anna Ray Ziegler Ava Fortney Nyah Funderburke amp Jordan Aurnou Rhees on finishing 2nd in the prelims this m ,0,0,0,0
246,RT mother trouble ava Ruchi Ruchhh Our history amp present is deplorable in so many ways When I was little I wondered how people could ,0,0,0,0
247, wasnt bitch locked dropped songs t co 3cbWLcKCTu ,1,0,0,1
248, bbadicali sarcasticfem23 MsVanillaRose facebook habitually harass calling addicted druggy hooker for x89 ,1,0,1,0
249,RT letitbeglorious she served so many looks in this video Check On It really is that bitch ,1,0,0,1
250, ava shaunking So what does this show The same s it is still happening today against Black children women amp men ,0,0,0,0
251,Dudes really be slut shaming IG models famous chicks and thinking their girls are perfect angels ,1,0,0,1
252,ava lauren dominatrix first time fucking group india sex video kira kener lesbians videos oil ass orgy scene porno ,1,0,0,1
253,RT MLMFarley Watching an old classic movie Pandora and the Flying Dutchman Ava Gardner amp James Mason started at 6 00 PM PST What a be ,0,0,0,0
254, Facial Cumshots Nasty Hardcore Gangbang t co psZJ0AuWjA daddy cumshot little story fema x89 t co clZGi0ccBG ,1,0,0,1
255, porn naturaltits swinger cumshot hiddencam mature ladies missy monroe schoolgirls tight uni x89 t co csIdxzot8C ,1,0,0,1
256,rt dm slut boys n girls img20plus,1,0,0,1
257,RT ConcertBlogger ANightofStardust at UnionTransfer on Jan 11th w Lance Davis amp Ava Cherry PhillyLovesBowie DavidBowie Photo joe ,0,0,0,0
258,RT DeptofDefense These probably aren t the FRIES you re used to USArmy Special Forces operators practice their skills with the Fast Ro ,0,0,0,0
259,RT DuxAthletics Goal Ava Dant lights the lamp 8 minutes into the final period Duxbury leads 6 0,0,0,0,0
260, love you bby RT and Like for more girls cock cuckold cum dating dm hardcore milf naked nsfw nudes p ,1,0,0,1
261, ava Injustice Continues by Politicians of both parties through gov t Policies which inflicts Harm injustice amp circ ,0,0,0,0
262, Right Ridiculous regreted reported Sloppy t co TcmoLxts1l ,0,0,0,0
263,RT EscaflowneClown reading Kyle Buchanan profile on Ryan Coogler amp Black Panther I love this part with Ava DuVernay amp Ryan Coogler expre ,0,0,0,0
264,Hot Anal Double Penatration Ava Devine Dirty Girl blowjob assfuck bj milf anal cumshot faketits ,1,0,0,1
265,RT scarcexbitch 368 love ur tweets w ava ,1,0,0,1
266, movie porno masturbation comics porno outdoor handjob granny fucking casting gaping pussy cas x89 t co wsE6lHf57F ,1,0,0,1
267,RT ratalburo17 Fuck me like a bitch my pussy is wet horny boobs tits pussy porn amateurporn nsfw cumslut blowjob sex sl ,1,0,0,1
268, YPWPhotographer you re looking polite employ sassy flower t co zGlcofmLvd ,0,0,0,0
269,secretly recorded black Tasexycom n t co kGoMzdJsD2 black fucking habesha x89 t co RsdluQRjfD ,1,0,0,1
270,Wanna unblocked the stupid slut from mixer I can will block her back idc if I m being petty or not She bitch disr ,1,0,0,1
271, finalcybergirl I should stop calling you a slut,1,0,0,1
272, andreaaa666 AlexExamples I called you stupid slut and spit on you don t fucking lie bitch,1,0,0,1
273,college Today class called character whore professor said x89 x89 t co fYOgmWdY97 ,0,0,0,0
274,RT ZoieSorensen If a girl with no tits posted a pic wearing a plunging shirt everyone would be talking about how cute she is but if a g ,1,0,0,1
275, I x89 ve hardly tweets x89 slut shaming x89 x9d Alissa Violet towards Shane Jake Shane liter x89 t co svtCCc4Bzs ,1,0,0,1
